date,description,amount
2022-04-11,"CHEVRON",-36.28
2022-04-11,"LOCAL BISTRO",-43.95
2022-04-11,"PHILZ COFFEE",-9.81
2022-04-11,"CVS PHARMACY",-47.16
2022-04-12,"TACO BELL",-13.68
2022-04-12,"PEETS COFFEE",-4.66
2022-04-12,"STARBUCKS",-8.38
2022-04-12,"STARBUCKS",-8.26
2022-04-13,"76 STATION",-46.76
2022-04-13,"CHIPOTLE",-42.46
2022-04-13,"STARBUCKS",-5.70
2022-04-14,"SHELL OIL",-37.09
2022-04-14,"IN-N-OUT BURGER",-39.00
2022-04-14,"LOCAL COFFEE SHOP",-7.43
2022-04-14,"PLAYSTATION NETWORK",-51.47
2022-04-14,"MCDONALDS",-14.29
2022-04-15,"PAYROLL DEPOSIT",4206.19
2022-04-15,"ARCO AMPM",-65.09
2022-04-15,"SUSHI HOUSE",-40.14
2022-04-15,"PHILZ COFFEE",-10.35
2022-04-15,"AMAZON PRIME",-17.32
2022-04-15,"PARKING METER",-10.77
2022-04-16,"COSTCO WHOLESALE",-53.53
2022-04-16,"ARCO AMPM",-67.00
2022-04-16,"UBER EATS",-15.33
2022-04-16,"LOCAL COFFEE SHOP",-8.36
2022-04-16,"LIME SCOOTER",-31.33
2022-04-16,"AMAZON.COM",-8.15
2022-04-16,"7-ELEVEN",-21.47
2022-04-17,"LOCAL MARKET",-18.61
2022-04-17,"CHEVRON",-63.64
2022-04-17,"LOCAL BISTRO",-36.74
2022-04-17,"PEETS COFFEE",-8.47
2022-04-17,"DOLLAR STORE",-46.96
2022-04-18,"VERIZON WIRELESS",-121.39
2022-04-18,"ARCO AMPM",-54.43
2022-04-18,"TACO BELL",-19.59
2022-04-18,"LOCAL COFFEE SHOP",-11.11
2022-04-18,"NETFLIX.COM",-7.60
2022-04-18,"WALMART.COM",-55.53
2022-04-18,"LIME SCOOTER",-8.70
2022-04-18,"AMAZON.COM",-24.63
2022-04-19,"SPROUTS FARMERS MKT",-39.92
2022-04-19,"SHELL OIL",-65.91
2022-04-19,"IN-N-OUT BURGER",-10.19
2022-04-19,"LOCAL COFFEE SHOP",-10.34
2022-04-19,"AMAZON.COM",-22.53
2022-04-19,"UBER",-18.05
2022-04-19,"AMC THEATRES",-49.45
2022-04-19,"7-ELEVEN",-9.87
2022-04-20,"LOCAL MARKET",-52.39
2022-04-20,"76 STATION",-50.32
2022-04-20,"SUSHI HOUSE",-35.36
2022-04-20,"PHILZ COFFEE",-11.49
2022-04-20,"GOOGLE STORAGE",-15.57
2022-04-20,"LIME SCOOTER",-20.76
2022-04-21,"SPROUTS FARMERS MKT",-104.36
2022-04-21,"LOCAL BISTRO",-12.33
2022-04-21,"PEETS COFFEE",-7.62
2022-04-21,"LIME SCOOTER",-26.69
2022-04-22,"PG&E ELECTRIC",-40.50
2022-04-22,"CHIPOTLE",-42.29
2022-04-22,"PHILZ COFFEE",-4.78
2022-04-22,"BEST BUY",-31.41
2022-04-22,"KINDLE EBOOK",-14.61
2022-04-22,"AMAZON.COM",-18.08
2022-04-23,"LOCAL MARKET",-102.84
2022-04-23,"ARCO AMPM",-69.13
2022-04-23,"PANERA BREAD",-8.94
2022-04-23,"PEETS COFFEE",-9.11
2022-04-23,"7-ELEVEN",-19.79
2022-04-24,"SPROUTS FARMERS MKT",-37.81
2022-04-24,"EXXON MOBIL",-69.48
2022-04-24,"CHIPOTLE",-10.97
2022-04-24,"PEETS COFFEE",-4.08
2022-04-24,"GOOGLE STORAGE",-13.82
2022-04-24,"BEST BUY",-59.10
2022-04-24,"LYFT",-4.73
2022-04-25,"WHOLE FOODS MKT",-88.68
2022-04-25,"76 STATION",-51.20
2022-04-25,"SUSHI HOUSE",-60.07
2022-04-25,"PHILZ COFFEE",-6.66
2022-04-25,"DOLLAR STORE",-61.64
2022-04-26,"EXXON MOBIL",-71.60
2022-04-26,"IN-N-OUT BURGER",-13.96
2022-04-26,"PEETS COFFEE",-5.97
2022-04-26,"LIME SCOOTER",-33.41
2022-04-26,"SPOTIFY",-25.34
2022-04-26,"STARBUCKS",-10.23
2022-04-27,"76 STATION",-46.78
2022-04-27,"PANERA BREAD",-27.44
2022-04-27,"LOCAL COFFEE SHOP",-6.74
2022-04-27,"AMAZON PRIME",-5.08
2022-04-27,"BEST BUY",-68.43
2022-04-27,"BART TICKET",-18.55
2022-04-27,"STARBUCKS",-22.15
2022-04-28,"VERIZON WIRELESS",-145.81
2022-04-28,"EXXON MOBIL",-42.61
2022-04-28,"DOORDASH",-24.72
2022-04-28,"PEETS COFFEE",-10.52
2022-04-29,"76 STATION",-52.37
2022-04-29,"TACO BELL",-11.99
2022-04-29,"PHILZ COFFEE",-6.13
2022-04-29,"CVS",-47.11
2022-04-30,"SPROUTS FARMERS MKT",-102.39
2022-04-30,"CHEVRON",-43.41
2022-04-30,"TACO BELL",-20.20
2022-04-30,"PHILZ COFFEE",-4.72
2022-04-30,"TARGET",-83.54
2022-04-30,"CVS PHARMACY",-49.81
2022-05-01,"ACH PAYROLL",4271.35
2022-05-01,"AVALON APARTMENTS",-2400.00
2022-05-01,"PG&E ELECTRIC",-103.72
2022-05-01,"COSTCO WHOLESALE",-64.49
2022-05-01,"76 STATION",-47.22
2022-05-01,"PIZZA PORT",-17.16
2022-05-01,"DUNKIN",-4.01
2022-05-01,"24 HOUR FITNESS",-87.48
2022-05-01,"AMAZON.COM",-23.95
2022-05-02,"SAFEWAY",-88.09
2022-05-02,"CHEVRON",-60.56
2022-05-02,"CHIPOTLE",-32.68
2022-05-02,"DUNKIN",-5.26
2022-05-02,"UBER",-5.29
2022-05-03,"SAFEWAY",-101.70
2022-05-03,"76 STATION",-61.41
2022-05-03,"MCDONALDS",-9.96
2022-05-03,"STARBUCKS",-7.50
2022-05-03,"FASTTRAK",-10.70
2022-05-04,"SDG&E UTILITIES",-57.71
2022-05-04,"76 STATION",-69.97
2022-05-04,"CHIPOTLE",-43.99
2022-05-04,"PHILZ COFFEE",-11.59
2022-05-04,"LIME SCOOTER",-20.51
2022-05-04,"TICKETMASTER",-17.39
2022-05-05,"ARCO AMPM",-41.74
2022-05-05,"TACO BELL",-22.08
2022-05-05,"STARBUCKS",-11.54
2022-05-06,"SHELL OIL",-66.11
2022-05-06,"PANERA BREAD",-32.42
2022-05-06,"LOCAL COFFEE SHOP",-4.34
2022-05-06,"AMAZON.COM",-9.93
2022-05-06,"AMAZON.COM",-5.84
2022-05-06,"STARBUCKS",-12.14
2022-05-07,"SPROUTS FARMERS MKT",-88.64
2022-05-07,"CHEVRON",-46.30
2022-05-07,"UBER EATS",-43.39
2022-05-07,"LOCAL COFFEE SHOP",-5.11
2022-05-07,"BART TICKET",-23.95
2022-05-07,"MCDONALDS",-12.31
2022-05-07,"7-ELEVEN",-14.01
2022-05-08,"WATER DISTRICT",-163.83
2022-05-08,"SPROUTS FARMERS MKT",-33.46
2022-05-08,"SHELL OIL",-58.31
2022-05-08,"CHIPOTLE",-17.88
2022-05-08,"PHILZ COFFEE",-10.18
2022-05-08,"FASTTRAK",-33.15
2022-05-08,"KINDLE EBOOK",-7.36
2022-05-09,"SHELL OIL",-42.64
2022-05-09,"PANERA BREAD",-29.74
2022-05-09,"DUNKIN",-11.63
2022-05-09,"CVS PHARMACY",-11.15
2022-05-09,"7-ELEVEN",-17.67
2022-05-09,"AMAZON.COM",-21.61
2022-05-10,"PANERA BREAD",-38.00
2022-05-10,"LOCAL COFFEE SHOP",-8.44
2022-05-10,"DAVE AND BUSTERS",-59.47
2022-05-10,"WALGREENS",-18.31
2022-05-11,"76 STATION",-61.77
2022-05-11,"MCDONALDS",-16.15
2022-05-11,"LOCAL COFFEE SHOP",-10.81
2022-05-11,"TICKETMASTER",-24.36
2022-05-11,"MCDONALDS",-18.72
2022-05-12,"VERIZON WIRELESS",-101.53
2022-05-12,"ARCO AMPM",-70.42
2022-05-12,"TACO BELL",-91.45
2022-05-12,"LOCAL COFFEE SHOP",-10.70
2022-05-12,"DOLLAR STORE",-77.78
2022-05-12,"COPAY",-23.30
2022-05-12,"MCDONALDS",-20.63
2022-05-12,"STARBUCKS",-8.66
2022-05-13,"EXXON MOBIL",-52.06
2022-05-13,"DOORDASH",-38.89
2022-05-13,"PEETS COFFEE",-10.32
2022-05-14,"WHOLE FOODS MKT",-78.36
2022-05-14,"SHELL OIL",-72.36
2022-05-14,"UBER EATS",-25.93
2022-05-14,"PHILZ COFFEE",-6.17
2022-05-14,"CVS PHARMACY",-13.00
2022-05-15,"PAYROLL DEPOSIT",4499.67
2022-05-15,"TRADER JOES",-115.72
2022-05-15,"CHEVRON",-56.34
2022-05-15,"CHIPOTLE",-25.36
2022-05-15,"PEETS COFFEE",-7.19
2022-05-15,"EBAY",-68.59
2022-05-15,"COPAY",-32.74
2022-05-15,"7-ELEVEN",-20.76
2022-05-16,"SHELL OIL",-43.36
2022-05-16,"PANERA BREAD",-15.86
2022-05-16,"PEETS COFFEE",-11.81
2022-05-16,"GAP",-64.67
2022-05-16,"7-ELEVEN",-13.82
2022-05-17,"SHELL OIL",-51.81
2022-05-17,"LOCAL BISTRO",-36.70
2022-05-17,"STARBUCKS",-5.16
2022-05-17,"AMAZON.COM",-37.81
2022-05-17,"RITE AID",-18.08
2022-05-17,"STARBUCKS",-22.92
2022-05-18,"WALMART SUPERCENTER",-103.62
2022-05-18,"76 STATION",-39.86
2022-05-18,"LOCAL BISTRO",-27.41
2022-05-18,"DUNKIN",-9.08
2022-05-18,"AMAZON.COM",-19.98
2022-05-18,"7-ELEVEN",-14.50
2022-05-19,"WATER DISTRICT",-110.53
2022-05-19,"WALMART SUPERCENTER",-59.54
2022-05-19,"CHEVRON",-63.62
2022-05-19,"LOCAL BISTRO",-18.72
2022-05-19,"DUNKIN",-4.73
2022-05-19,"TARGET",-60.99
2022-05-19,"AMAZON.COM",-23.69
2022-05-20,"TACO BELL",-29.65
2022-05-20,"PHILZ COFFEE",-9.86
2022-05-20,"SPOTIFY",-28.33
2022-05-21,"WHOLE FOODS MKT",-59.94
2022-05-21,"76 STATION",-71.41
2022-05-21,"CHIPOTLE",-33.85
2022-05-21,"PEETS COFFEE",-9.22
2022-05-21,"CVS",-70.24
2022-05-21,"CVS PHARMACY",-32.17
2022-05-22,"VERIZON WIRELESS",-79.70
2022-05-22,"COSTCO WHOLESALE",-95.63
2022-05-22,"SHELL OIL",-63.36
2022-05-22,"UBER EATS",-36.15
2022-05-22,"STARBUCKS",-11.39
2022-05-22,"SPOTIFY",-23.13
2022-05-22,"STARBUCKS",-5.24
2022-05-23,"SUBWAY",-12.05
2022-05-23,"STARBUCKS",-9.93
2022-05-23,"UNIQLO",-70.14
2022-05-23,"SPOTIFY",-47.72
2022-05-23,"WALGREENS",-38.07
2022-05-24,"SHELL OIL",-56.94
2022-05-24,"MCDONALDS",-40.21
2022-05-24,"STARBUCKS",-8.34
2022-05-24,"AMAZON PRIME",-10.01
2022-05-24,"WALMART.COM",-11.47
2022-05-24,"LIME SCOOTER",-27.76
2022-05-24,"7-ELEVEN",-16.17
2022-05-24,"STARBUCKS",-15.59
2022-05-25,"WALMART SUPERCENTER",-72.87
2022-05-25,"EXXON MOBIL",-49.80
2022-05-25,"SUBWAY",-25.60
2022-05-25,"STARBUCKS",-7.60
2022-05-26,"EXXON MOBIL",-46.85
2022-05-26,"CHIPOTLE",-10.63
2022-05-26,"PEETS COFFEE",-4.15
2022-05-26,"UBER",-19.96
2022-05-27,"COSTCO WHOLESALE",-56.22
2022-05-27,"CHEVRON",-46.12
2022-05-27,"CHIPOTLE",-38.71
2022-05-27,"PHILZ COFFEE",-11.95
2022-05-27,"COPAY",-13.97
2022-05-28,"WATER DISTRICT",-48.54
2022-05-28,"SPROUTS FARMERS MKT",-115.77
2022-05-28,"ARCO AMPM",-36.60
2022-05-28,"DOORDASH",-18.98
2022-05-28,"DUNKIN",-9.21
2022-05-28,"UBER",-4.58
2022-05-28,"SPOTIFY",-18.35
2022-05-28,"MCDONALDS",-20.28
2022-05-29,"WALMART SUPERCENTER",-22.17
2022-05-29,"CHEVRON",-39.29
2022-05-29,"DOORDASH",-34.53
2022-05-29,"LOCAL COFFEE SHOP",-9.85
2022-05-29,"DISNEY PLUS",-9.22
2022-05-29,"UBER",-10.84
2022-05-30,"EXXON MOBIL",-62.13
2022-05-30,"SUBWAY",-15.49
2022-05-30,"LOCAL COFFEE SHOP",-10.12
2022-05-30,"EBAY",-11.20
2022-05-30,"PARKING METER",-20.13
2022-05-30,"RITE AID",-18.79
2022-05-31,"TRADER JOES",-111.09
2022-05-31,"LOCAL BISTRO",-8.15
2022-05-31,"STARBUCKS",-10.69
2022-05-31,"RITE AID",-22.14
2022-05-31,"STARBUCKS",-9.05
2022-06-01,"DIRECT DEPOSIT - EMPLOYER",4279.01
2022-06-01,"RENT PAYMENT",-2400.00
2022-06-01,"EXXON MOBIL",-50.87
2022-06-01,"DOORDASH",-21.01
2022-06-01,"DUNKIN",-10.37
2022-06-01,"NETFLIX.COM",-14.13
2022-06-01,"UNIQLO",-81.24
2022-06-01,"PARKING METER",-23.27
2022-06-01,"24 HOUR FITNESS",-59.75
2022-06-01,"7-ELEVEN",-19.45
2022-06-01,"MCDONALDS",-18.49
2022-06-02,"EXXON MOBIL",-37.93
2022-06-02,"PIZZA PORT",-11.01
2022-06-02,"LOCAL COFFEE SHOP",-5.06
2022-06-02,"UNIQLO",-40.81
2022-06-02,"KINDLE EBOOK",-56.41
2022-06-02,"STARBUCKS",-24.85
2022-06-03,"76 STATION",-62.17
2022-06-03,"LOCAL BISTRO",-9.73
2022-06-03,"STARBUCKS",-9.51
2022-06-03,"NYT SUBSCRIPTION",-17.00
2022-06-03,"TICKETMASTER",-10.64
2022-06-03,"AMAZON.COM",-5.19
2022-06-03,"7-ELEVEN",-6.47
2022-06-04,"COSTCO WHOLESALE",-46.00
2022-06-04,"SHELL OIL",-54.63
2022-06-04,"TACO BELL",-13.16
2022-06-04,"DUNKIN",-9.16
2022-06-04,"LIME SCOOTER",-31.43
2022-06-05,"SPROUTS FARMERS MKT",-41.10
2022-06-05,"ARCO AMPM",-38.51
2022-06-05,"SUBWAY",-30.50
2022-06-05,"PHILZ COFFEE",-4.04
2022-06-05,"BEST BUY",-20.20
2022-06-05,"FASTTRAK",-8.80
2022-06-06,"SHELL OIL",-58.87
2022-06-06,"IN-N-OUT BURGER",-13.89
2022-06-06,"DUNKIN",-5.84
2022-06-07,"76 STATION",-70.01
2022-06-07,"IN-N-OUT BURGER",-19.50
2022-06-07,"DUNKIN",-6.49
2022-06-08,"TRADER JOES",-112.04
2022-06-08,"UBER EATS",-30.12
2022-06-08,"PHILZ COFFEE",-4.87
2022-06-08,"AMAZON.COM",-25.69
2022-06-08,"LYFT",-21.29
2022-06-08,"AMAZON.COM",-15.91
2022-06-08,"MCDONALDS",-12.12
2022-06-09,"SHELL OIL",-55.34
2022-06-09,"CHIPOTLE",-28.04
2022-06-09,"DUNKIN",-7.29
2022-06-09,"STARBUCKS",-20.69
2022-06-10,"ARCO AMPM",-66.48
2022-06-10,"MCDONALDS",-9.23
2022-06-10,"PEETS COFFEE",-10.59
2022-06-11,"SPROUTS FARMERS MKT",-101.98
2022-06-11,"76 STATION",-68.75
2022-06-11,"MCDONALDS",-14.45
2022-06-11,"DUNKIN",-6.75
2022-06-11,"CLIPPER CARD",-34.74
2022-06-11,"7-ELEVEN",-18.32
2022-06-12,"TRADER JOES",-105.50
2022-06-12,"76 STATION",-56.43
2022-06-12,"CHIPOTLE",-20.48
2022-06-12,"STARBUCKS",-8.25
2022-06-12,"LIME SCOOTER",-33.18
2022-06-12,"COPAY",-28.39
2022-06-12,"7-ELEVEN",-6.03
2022-06-13,"ARCO AMPM",-72.45
2022-06-13,"LOCAL BISTRO",-37.63
2022-06-13,"LOCAL COFFEE SHOP",-10.49
2022-06-13,"TARGET",-39.23
2022-06-14,"DOORDASH",-16.63
2022-06-14,"STARBUCKS",-8.24
2022-06-14,"UNIQLO",-35.08
2022-06-15,"DIRECT DEPOSIT - EMPLOYER",4442.13
2022-06-15,"EXXON MOBIL",-62.92
2022-06-15,"TACO BELL",-28.87
2022-06-15,"LOCAL COFFEE SHOP",-11.20
2022-06-16,"PG&E ELECTRIC",-66.44
2022-06-16,"EXXON MOBIL",-66.13
2022-06-16,"MCDONALDS",-9.25
2022-06-16,"LOCAL COFFEE SHOP",-9.59
2022-06-16,"LYFT",-24.76
2022-06-16,"WALGREENS",-31.33
2022-06-16,"MCDONALDS",-5.58
2022-06-17,"TACO BELL",-36.07
2022-06-17,"STARBUCKS",-11.13
2022-06-17,"LIME SCOOTER",-16.77
2022-06-17,"STARBUCKS",-18.66
2022-06-18,"WATER DISTRICT",-120.06
2022-06-18,"LOCAL MARKET",-19.03
2022-06-18,"CHEVRON",-70.87
2022-06-18,"SUSHI HOUSE",-38.54
2022-06-18,"DUNKIN",-5.40
2022-06-18,"DOLLAR STORE",-53.91
2022-06-18,"MCDONALDS",-24.41
2022-06-19,"TRADER JOES",-34.86
2022-06-19,"76 STATION",-69.51
2022-06-19,"LOCAL BISTRO",-27.21
2022-06-19,"PHILZ COFFEE",-8.07
2022-06-19,"STARBUCKS",-23.00
2022-06-20,"COMCAST INTERNET",-162.42
2022-06-20,"DOORDASH",-35.87
2022-06-20,"DUNKIN",-9.48
2022-06-21,"TRADER JOES",-39.07
2022-06-21,"CHEVRON",-44.50
2022-06-21,"CHIPOTLE",-19.63
2022-06-21,"PEETS COFFEE",-11.59
2022-06-21,"AMAZON.COM",-11.77
2022-06-21,"STARBUCKS",-17.35
2022-06-22,"COMCAST INTERNET",-169.38
2022-06-22,"WHOLE FOODS MKT",-49.08
2022-06-22,"CHEVRON",-74.01
2022-06-22,"LOCAL BISTRO",-16.70
2022-06-22,"PEETS COFFEE",-9.62
2022-06-22,"GAP",-41.53
2022-06-23,"SUBWAY",-21.75
2022-06-23,"STARBUCKS",-11.25
2022-06-24,"MCDONALDS",-21.46
2022-06-24,"PHILZ COFFEE",-6.70
2022-06-24,"SPOTIFY USA",-15.45
2022-06-24,"LYFT",-26.74
2022-06-25,"TRADER JOES",-63.37
2022-06-25,"CHEVRON",-64.39
2022-06-25,"DOORDASH",-35.22
2022-06-25,"PHILZ COFFEE",-5.04
2022-06-25,"EBAY",-66.74
2022-06-25,"7-ELEVEN",-21.94
2022-06-26,"TRADER JOES",-81.57
2022-06-26,"76 STATION",-40.66
2022-06-26,"PANERA BREAD",-57.48
2022-06-26,"LOCAL COFFEE SHOP",-4.17
2022-06-26,"WALMART.COM",-61.60
2022-06-26,"7-ELEVEN",-15.41
2022-06-26,"AMAZON.COM",-9.09
2022-06-27,"CHIPOTLE",-22.04
2022-06-27,"PHILZ COFFEE",-7.08
2022-06-27,"NYT SUBSCRIPTION",-19.83
2022-06-27,"STARBUCKS",-21.54
2022-06-28,"WALMART SUPERCENTER",-75.44
2022-06-28,"ARCO AMPM",-52.48
2022-06-28,"MCDONALDS",-24.33
2022-06-28,"STARBUCKS",-11.48
2022-06-28,"BART TICKET",-17.08
2022-06-29,"ARCO AMPM",-74.00
2022-06-29,"SUSHI HOUSE",-37.11
2022-06-29,"DUNKIN",-5.87
2022-06-29,"STEAM GAMES",-56.44
2022-06-30,"WHOLE FOODS MKT",-99.18
2022-06-30,"76 STATION",-55.34
2022-06-30,"TACO BELL",-19.03
2022-06-30,"LOCAL COFFEE SHOP",-8.22
2022-06-30,"LIME SCOOTER",-19.77
2022-06-30,"WALGREENS",-11.40
2022-06-30,"STARBUCKS",-20.45
2022-07-01,"ACH PAYROLL",4211.17
2022-07-01,"RENT PAYMENT",-2400.00
2022-07-01,"CHEVRON",-42.60
2022-07-01,"LOCAL BISTRO",-18.23
2022-07-01,"PEETS COFFEE",-4.15
2022-07-01,"CLIPPER CARD",-14.22
2022-07-01,"STEAM GAMES",-19.00
2022-07-01,"PLANET FITNESS",-97.87
2022-07-01,"AMAZON.COM",-7.47
2022-07-01,"MCDONALDS",-23.40
2022-07-02,"WHOLE FOODS MKT",-67.73
2022-07-02,"ARCO AMPM",-47.93
2022-07-02,"SUBWAY",-24.03
2022-07-02,"PHILZ COFFEE",-5.95
2022-07-02,"WALMART.COM",-40.87
2022-07-02,"MCDONALDS",-22.30
2022-07-03,"WALMART SUPERCENTER",-28.43
2022-07-03,"EXXON MOBIL",-45.67
2022-07-03,"IN-N-OUT BURGER",-30.03
2022-07-03,"PEETS COFFEE",-10.95
2022-07-03,"UNIQLO",-15.00
2022-07-04,"WALMART SUPERCENTER",-18.53
2022-07-04,"SUSHI HOUSE",-34.84
2022-07-04,"DUNKIN",-4.32
2022-07-04,"EBAY",-36.55
2022-07-04,"7-ELEVEN",-24.30
2022-07-05,"WALMART SUPERCENTER",-39.18
2022-07-05,"LOCAL BISTRO",-43.42
2022-07-05,"PEETS COFFEE",-11.30
2022-07-05,"STARBUCKS",-16.71
2022-07-06,"UBER EATS",-29.43
2022-07-06,"DUNKIN",-5.79
2022-07-06,"GAP",-53.23
2022-07-06,"STEAM GAMES",-120.85
2022-07-07,"EXXON MOBIL",-38.61
2022-07-07,"SUBWAY",-9.75
2022-07-07,"STARBUCKS",-7.38
2022-07-07,"WALMART.COM",-65.37
2022-07-07,"STARBUCKS",-16.77
2022-07-08,"SHELL OIL",-51.62
2022-07-08,"PIZZA PORT",-29.58
2022-07-08,"LOCAL COFFEE SHOP",-4.45
2022-07-08,"UBER",-20.27
2022-07-08,"WALGREENS",-43.70
2022-07-09,"LOCAL MARKET",-64.28
2022-07-09,"EXXON MOBIL",-38.00
2022-07-09,"UBER EATS",-17.66
2022-07-09,"LOCAL COFFEE SHOP",-9.76
2022-07-10,"WHOLE FOODS MKT",-116.04
2022-07-10,"SHELL OIL",-61.76
2022-07-10,"TACO BELL",-12.16
2022-07-10,"STARBUCKS",-4.19
2022-07-10,"FASTTRAK",-4.86
2022-07-10,"WALGREENS",-49.57
2022-07-10,"MCDONALDS",-13.70
2022-07-11,"ARCO AMPM",-42.15
2022-07-11,"PIZZA PORT",-36.32
2022-07-11,"DUNKIN",-6.73
2022-07-11,"UNIQLO",-54.41
2022-07-11,"BART TICKET",-29.83
2022-07-12,"76 STATION",-42.46
2022-07-12,"MCDONALDS",-21.07
2022-07-12,"PHILZ COFFEE",-11.14
2022-07-12,"EBAY",-40.08
2022-07-12,"CVS PHARMACY",-36.19
2022-07-12,"STARBUCKS",-8.18
2022-07-13,"ARCO AMPM",-41.28
2022-07-13,"SUSHI HOUSE",-26.67
2022-07-13,"PEETS COFFEE",-8.58
2022-07-13,"BART TICKET",-19.44
2022-07-13,"STARBUCKS",-6.70
2022-07-14,"UBER EATS",-76.91
2022-07-14,"STARBUCKS",-7.71
2022-07-14,"TARGET",-58.52
2022-07-14,"PARKING METER",-3.12
2022-07-15,"ACH PAYROLL",4480.07
2022-07-15,"CHEVRON",-35.66
2022-07-15,"TACO BELL",-19.32
2022-07-15,"PHILZ COFFEE",-5.67
2022-07-15,"SPOTIFY",-58.36
2022-07-15,"MCDONALDS",-6.07
2022-07-15,"STARBUCKS",-8.31
2022-07-15,"AMAZON.COM",-15.32
2022-07-16,"SPROUTS FARMERS MKT",-56.18
2022-07-16,"EXXON MOBIL",-48.22
2022-07-16,"LOCAL BISTRO",-32.00
2022-07-16,"STARBUCKS",-5.92
2022-07-17,"LOCAL MARKET",-93.56
2022-07-17,"76 STATION",-60.37
2022-07-17,"IN-N-OUT BURGER",-13.77
2022-07-17,"PHILZ COFFEE",-6.65
2022-07-17,"UNIQLO",-26.10
2022-07-17,"AMC THEATRES",-42.78
2022-07-17,"CVS PHARMACY",-43.71
2022-07-18,"76 STATION",-48.91
2022-07-18,"SUSHI HOUSE",-27.14
2022-07-18,"PHILZ COFFEE",-5.31
2022-07-18,"DOLLAR STORE",-24.77
2022-07-18,"CVS PHARMACY",-36.52
2022-07-18,"AMAZON.COM",-12.71
2022-07-18,"STARBUCKS",-9.58
2022-07-18,"AMAZON.COM",-9.92
2022-07-19,"CHEVRON",-52.49
2022-07-19,"SUBWAY",-36.05
2022-07-19,"LOCAL COFFEE SHOP",-7.88
2022-07-20,"EXXON MOBIL",-55.22
2022-07-20,"UBER EATS",-35.01
2022-07-20,"STARBUCKS",-4.77
2022-07-20,"FASTTRAK",-25.59
2022-07-21,"DOORDASH",-25.95
2022-07-21,"DUNKIN",-8.05
2022-07-21,"7-ELEVEN",-7.89
2022-07-21,"STARBUCKS",-11.42
2022-07-22,"COSTCO WHOLESALE",-61.36
2022-07-22,"DOORDASH",-21.80
2022-07-22,"PEETS COFFEE",-6.02
2022-07-22,"UBER",-13.19
2022-07-23,"WHOLE FOODS MKT",-53.83
2022-07-23,"ARCO AMPM",-40.43
2022-07-23,"PANERA BREAD",-32.41
2022-07-23,"STARBUCKS",-6.34
2022-07-24,"COSTCO WHOLESALE",-65.32
2022-07-24,"ARCO AMPM",-63.09
2022-07-24,"PIZZA PORT",-11.71
2022-07-24,"STARBUCKS",-10.05
2022-07-24,"GAP",-15.82
2022-07-25,"SAFEWAY",-116.72
2022-07-25,"MCDONALDS",-34.97
2022-07-25,"DUNKIN",-9.56
2022-07-25,"WALMART.COM",-46.86
2022-07-25,"CVS PHARMACY",-16.93
2022-07-25,"MCDONALDS",-15.43
2022-07-26,"PG&E ELECTRIC",-96.85
2022-07-26,"WALMART SUPERCENTER",-84.32
2022-07-26,"DOORDASH",-30.39
2022-07-26,"LOCAL COFFEE SHOP",-4.51
2022-07-26,"WALMART.COM",-15.37
2022-07-26,"PLAYSTATION NETWORK",-32.49
2022-07-27,"PANERA BREAD",-13.37
2022-07-27,"STARBUCKS",-11.95
2022-07-27,"WALMART.COM",-21.59
2022-07-27,"PARKING METER",-31.95
2022-07-27,"STEAM GAMES",-36.92
2022-07-27,"MCDONALDS",-15.32
2022-07-27,"STARBUCKS",-9.95
2022-07-28,"SUBWAY",-42.81
2022-07-28,"DUNKIN",-10.79
2022-07-28,"STARBUCKS",-22.13
2022-07-29,"WATER DISTRICT",-147.43
2022-07-29,"PIZZA PORT",-30.24
2022-07-29,"PHILZ COFFEE",-6.14
2022-07-30,"WATER DISTRICT",-70.03
2022-07-30,"WALMART SUPERCENTER",-103.93
2022-07-30,"76 STATION",-61.47
2022-07-30,"PIZZA PORT",-8.25
2022-07-30,"LOCAL COFFEE SHOP",-11.44
2022-07-30,"BEST BUY",-56.27
2022-07-30,"MCDONALDS",-12.14
2022-07-30,"7-ELEVEN",-14.51
2022-07-31,"WHOLE FOODS MKT",-107.44
2022-07-31,"EXXON MOBIL",-56.10
2022-07-31,"SUSHI HOUSE",-22.77
2022-07-31,"STARBUCKS",-7.00
2022-07-31,"BEST BUY",-47.90
2022-08-01,"PAYROLL DEPOSIT",4473.57
2022-08-01,"AVALON APARTMENTS",-2400.00
2022-08-01,"SHELL OIL",-60.46
2022-08-01,"SUSHI HOUSE",-11.29
2022-08-01,"STARBUCKS",-10.11
2022-08-01,"CVS",-36.59
2022-08-01,"24 HOUR FITNESS",-60.88
2022-08-01,"MCDONALDS",-19.96
2022-08-02,"TRADER JOES",-22.66
2022-08-02,"76 STATION",-41.31
2022-08-02,"UBER EATS",-98.83
2022-08-02,"PEETS COFFEE",-7.92
2022-08-02,"FASTTRAK",-29.68
2022-08-03,"TRADER JOES",-114.25
2022-08-03,"SHELL OIL",-67.85
2022-08-03,"PANERA BREAD",-19.57
2022-08-03,"STARBUCKS",-4.37
2022-08-03,"NYT SUBSCRIPTION",-10.98
2022-08-03,"WALGREENS",-16.06
2022-08-03,"MCDONALDS",-17.98
2022-08-04,"COSTCO WHOLESALE",-51.84
2022-08-04,"PIZZA PORT",-40.63
2022-08-04,"LOCAL COFFEE SHOP",-11.94
